"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0","-0.036295330462861","0.0133598277902909","-0.00569845109105466","-0.000919050939420296","-0.00782786253958889","0.127898980639905","0.107332869242947","0.100988091386955","0.0887779773866665","0.174434520394335","0.0176591421128864","0.0116873094736899","0.0102208683522152","0.00787449239422785","0.0304582499352351","Naive"
"0.3","0.05","0.0299455224922178","-0.0120575941551252","-0.0135972683234464","0.00167248046806086","-0.951429662394363","0.127350958542545","0.0993113899625128","0.0983988127126082","0.0888136071665181","0.609020363210557","0.0170987826923953","0.0099982750009197","0.0098575297227675","0.00788276615202671","1.27575329948617","Naive"
"0.3","0.1","0.085111631653376","-0.0363638057763646","-0.0170782694005534","-0.00477489396765531","-1.7809815489944","0.1147377124539","0.0964871367623091","0.0964835379585866","0.0894076506912558","0.7631790645471","0.0203955677591946","0.0106227841635691","0.0095914313096269","0.00800853388652984","3.7537551201369","Naive"
"0.3","0.15","0.135958666971839","-0.0581402104654133","-0.024460228040544","0.00126887312355482","-2.56799818712654","0.111510182957327","0.0884128578492437","0.0942824393121312","0.0831637726696658","0.906052377642543","0.0309068455070328","0.0111893006726001","0.00947859194007847","0.00691090691057088","7.41472466920588","Naive"
"0.3","0.2","0.18657695650071","-0.0777371051127189","-0.031326383959592","0.00277509153461226","-3.17465934432666","0.106105433771027","0.089058369829058","0.0939220462749463","0.0831823588111598","1.03009442708335","0.0460580654097298","0.0139665193546786","0.00979387175768046","0.00692008664559662","11.1384953867001","Naive"
"0.3","0.25","0.222774374232171","-0.103678259567238","-0.0272293575069255","0.0054267125617849","-3.82227697149748","0.100481447595968","0.0870002424651148","0.0938732797604251","0.0789132320966367","1.0864183203203","0.0597148466042055","0.0183106546536914","0.00954481837056601","0.00625052011096595","15.7889257088008","Naive"
"0.3","0.3","0.261433641124864","-0.119600427853046","-0.0301953103909758","0.00434707312193144","-4.38278999747534","0.0931530124335829","0.0814058665851072","0.0902365422829742","0.086831295927218","1.19912061820749","0.0770163549535299","0.0209245505419894","0.00904624769923117","0.00755103132317513","20.6453005287232","Naive"
"0.3","0.35","0.297019703641295","-0.1341282436913","-0.0360684999448285","0.000206697920209581","-4.83674943373535","0.091625127667029","0.080433700380476","0.0872696939248221","0.0789362284481318","1.18359463930368","0.096607473207142","0.0244534963324521","0.00890932016652449","0.00622473995748426","24.7936404586574","Naive"
"0.3","0.4","0.325956430410612","-0.1520940594921","-0.0345207172866063","0.00383063517301066","-5.3192647392651","0.0869512022363372","0.0736981081000102","0.0901743988834516","0.0828662014681814","1.23972726424008","0.113800545584802","0.0285585826591697","0.00931497071375965","0.00687461430424817","29.8299641323995","Naive"
"0.3","0.45","0.360650881197558","-0.159487017542382","-0.0448715576724567","0.00286007221972732","-5.72207512097883","0.0858204346851451","0.0728667296117638","0.0894978661003623","0.0788339016998146","1.28957515885974","0.137426839971113","0.0307403594885938","0.0100153148564345","0.00621674928626087","34.4034847763826","Naive"
