"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0","0.309136446791987","-0.157760114403926","-0.00569845136814351","-0.000919051059895148","-0.00782788631707199","0.0852659872728743","0.0715552464726725","0.100988092157835","0.0887779775250108","0.174434499869579","0.102828361032207","0.0300032868412069","0.0102208685109168","0.00787449241898859","0.0304582431541983","Naive"
"0.3","0.05","0.331296018178823","-0.165931080229654","-0.0115793174758335","-0.00107968417407432","-0.448412540170438","0.0860462156798476","0.0668975023614237","0.0986824256879922","0.0894622516748452","0.421718772328813","0.117153598942733","0.0320039239325545","0.00986256351173259","0.00799665669817435","0.378742682393691","Naive"
"0.3","0.1","0.349963199063115","-0.172976367930256","-0.0101403470618144","-0.00623339742991529","-0.883665481165226","0.0822211616874591","0.0680451799700148","0.098688547915319","0.0890070520880862","0.548264548170133","0.129227799808296","0.0345463402329777","0.00983251669867862","0.00795318830960915","1.08115810336839","Naive"
"0.3","0.15","0.362811630657493","-0.176953983344469","-0.0190592272925298","-0.00164223088431709","-1.26432526734795","0.080087225600547","0.06632311997246","0.0976297517115277","0.0887049823764935","0.670605037825537","0.138039829081038","0.0357070697081132","0.0098852909958236","0.00786340224679302","2.04777978729469","Naive"
"0.3","0.2","0.386171474887436","-0.187004152707914","-0.0223601312129229","0.000543070488114444","-1.61012769892311","0.0762913648319683","0.0663199276387561","0.0968317930728488","0.0868628610229103","0.778688972911364","0.154942959992314","0.0393644875992127","0.00986699522141243","0.00753790639401541","3.19826136685666","Naive"
"0.3","0.25","0.399832082526739","-0.196965453183622","-0.0167023906729973","0.00209229557655108","-2.00204876597107","0.0743039174282725","0.0629882415756304","0.0923299874203269","0.0859490044758121","0.813901398054094","0.165381245290712","0.0427589408060427","0.00879527160465412","0.00738422183979244","4.66997231159493","Naive"
"0.3","0.3","0.414258243792698","-0.205241436680406","-0.0199420552498991","-0.00256943996877837","-2.30414163578911","0.0746334692813618","0.0603579745468776","0.092995576632479","0.0891332156651144","0.911617050814159","0.177174477132446","0.045763489336947","0.00903721466352408","0.00794338742642215","6.13928327946466","Naive"
"0.3","0.35","0.432648027634624","-0.208122996057661","-0.0240583107299441","-0.00407936284173621","-2.64602974735686","0.0693708886035832","0.0601463477564891","0.0935996824417802","0.0821553310134377","0.957410664008413","0.191991823681596","0.0469291470533131","0.00933094196782743","0.00675939011670812","7.91719196827486","Naive"
"0.3","0.4","0.441994259018934","-0.215839282032528","-0.0232897868860313","-0.000378876290988969","-2.97344343780472","0.070849521019841","0.0602734968653323","0.0960670592313283","0.0883457836393633","0.964853499902164","0.200373559979809","0.0502158571982682","0.00976206516268294","0.00779731605661022","9.77137721182111","Naive"
"0.3","0.45","0.456432235053581","-0.21574270881861","-0.0322266102739882","9.43384364577998e-05","-3.14433799971229","0.0690522351142065","0.0582574811208683","0.095088381437042","0.0838077529105631","1.0323878637161","0.213093828159101","0.0499354565808331","0.0100713128937836","0.00701672460821067","10.9516203328818","Naive"
