"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-1.03629533046286","0.513359827790291","-0.255698451091055","-0.10091905093942","9.99217213746041","Naive"
"0.3","0.05","-0.970054477507782","0.487942405844875","-0.263597268323446","-0.0983275195319391","9.04857033760564","Naive"
"0.3","0.1","-0.914888368346624","0.463636194223635","-0.267078269400553","-0.104774893967655","8.2190184510056","Naive"
"0.3","0.15","-0.864041333028161","0.441859789534587","-0.274460228040544","-0.0987311268764452","7.43200181287346","Naive"
"0.3","0.2","-0.81342304349929","0.422262894887281","-0.281326383959592","-0.0972249084653877","6.82534065567334","Naive"
"0.3","0.25","-0.777225625767829","0.396321740432762","-0.277229357506925","-0.0945732874382151","6.17772302850252","Naive"
"0.3","0.3","-0.738566358875136","0.380399572146954","-0.280195310390976","-0.0956529268780686","5.61721000252466","Naive"
"0.3","0.35","-0.702980296358705","0.3658717563087","-0.286068499944829","-0.0997933020797904","5.16325056626465","Naive"
"0.3","0.4","-0.674043569589388","0.3479059405079","-0.284520717286606","-0.0961693648269893","4.6807352607349","Naive"
"0.3","0.45","-0.639349118802442","0.340512982457618","-0.294871557672457","-0.0971399277802727","4.27792487902117","Naive"
"0.3","0.5","-0.617363752789859","0.327260578892362","-0.290313653914867","-0.0946568616975105","3.90537566520993","Naive"
"0.3","0","-1.03629533058888","0.51335982781449","-0.255698450856534","-0.100919051044261","9.99217213626972","CEB"
"0.3","0.05","-1.04207185442076","0.519990759965507","-0.258551434983887","-0.100235684139035","10.0524557541765","CEB"
"0.3","0.1","-1.05191710551044","0.525541965550119","-0.259190432336196","-0.108200138952046","10.1259082603215","CEB"
"0.3","0.15","-1.0652790550346","0.531259717530888","-0.262172076147278","-0.103705836364406","10.1529810328369","CEB"
"0.3","0.2","-1.0664719993483","0.538242065292665","-0.26844388945442","-0.104395603305279","10.2589338962522","CEB"
"0.3","0.25","-1.08504822679932","0.533476331465449","-0.258824087773375","-0.102060712679865","10.3638214643727","CEB"
"0.3","0.3","-1.09870574155828","0.543715625425258","-0.259622139245816","-0.102960105745101","10.4506666381394","CEB"
"0.3","0.35","-1.0969227158007","0.544457693145191","-0.262510498608495","-0.112104136742072","10.5241716539308","CEB"
"0.3","0.4","-1.10587623153455","0.547254331821314","-0.261543226313377","-0.109641043028647","10.573592005092","CEB"
"0.3","0.45","-1.08399168421087","0.547955312146231","-0.275021113071897","-0.108968956680239","10.4623126783743","CEB"
"0.3","0.5","-1.08429827115838","0.541981757663039","-0.263134170774962","-0.10705328821255","10.5183996427432","CEB"
"0.3","0","-1.03629533046286","0.513359827790291","-0.255698451091055","-0.10091905093942","9.99217213746041","BCEB"
"0.3","0.05","-1.04134661092422","0.519655085702717","-0.258507895512723","-0.100178064335939","10.0426749329347","BCEB"
"0.3","0.1","-1.04911142470047","0.524139097865362","-0.258830982501076","-0.108034541291981","10.0882208646565","BCEB"
"0.3","0.15","-1.05735077272795","0.52780515777773","-0.261683214228559","-0.103250294217674","10.0549705338477","BCEB"
"0.3","0.2","-1.05377776807307","0.532417491952804","-0.267355423251721","-0.103548967833609","10.09955839667","BCEB"
"0.3","0.25","-1.0649896455137","0.524302352643826","-0.257208297080506","-0.101252423951265","10.1188849063846","BCEB"
"0.3","0.3","-1.06603007322025","0.528857037692736","-0.257788514922831","-0.101881877454364","10.0723910650175","BCEB"
