"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0","1","-0.5","-0.0714061514300112","0.0206682070200725","-15.0337800424591","0","0","0.0681411144198285","0.0641411638273041","1.83042046483287","1","0.25","0.00973740672494747","0.00453714958964851","229.361631004042","Naive"
"0.3","0.05","1.00206998611239","-0.499732826326191","-0.078307166950041","0.0222029102146417","-15.0384556728296","0.0613244480036507","0.167625707073995","0.0687469903129765","0.0682120380507451","1.80649025365306","1.00790118430231","0.277803177002348","0.010853434924157","0.0051411984749007","229.415292653166","Naive"
"0.3","0.1","1.00162919800559","-0.500606996060805","-0.0726463270627029","0.0150471442714942","-15.027981835257","0.0416840194582114","0.110686455319883","0.0681218386749223","0.0667224093062429","1.83576895191318","1.00499687021803","0.262846604404912","0.00991343315524888","0.00467384457445335","229.206915637979","Naive"
"0.3","0.15","0.999963212441586","-0.498513930850746","-0.0768734711829773","0.01895505807913","-14.9527236574346","0.0354654128274911","0.0947351781025522","0.0693291304283307","0.0672963369241503","1.74650398637595","1.00118296394801","0.257481918468414","0.0107112523693426","0.00488356239322854","226.631170673857","Naive"
"0.3","0.2","1.00057291067386","-0.500983178180989","-0.0768079775513155","0.020820478436597","-14.8791102653459","0.0314766715186544","0.0788470606021175","0.0692143974193005","0.0654063019938475","1.86261688997356","1.00213593964341","0.257194786926953","0.0106853075928301","0.00470719867849867","224.853794625456","Naive"
"0.3","0.25","1.00081325643971","-0.496385971247373","-0.0754049253004839","0.0212842121449512","-15.0880497676101","0.0271575314067167","0.0736054705252673","0.0706938540563468","0.0638910804795452","1.75642579268829","1.00236396824606","0.251811379977153","0.0106785261399103","0.00453100578131017","230.731192323536","Naive"
"0.3","0.3","0.999801559663469","-0.499138885862029","-0.0782670917543111","0.018033662102531","-15.1093245846124","0.0256178354086234","0.0650821292150173","0.0680917421547042","0.0697973749638165","1.77588846196597","1.00025877592304","0.253371075239204","0.0107575865159908","0.00519201484711603","231.442315452687","Naive"
"0.3","0.35","1.00034618475091","-0.497764676554594","-0.0777311805670732","0.0167156792626556","-15.0043766145878","0.0235649483945559","0.0618776734633569","0.0689479214358898","0.0654416794472991","1.78872879201075","1.00124724083174","0.251594690852264","0.0107911984868102","0.00455774472868614","228.327668733066","Naive"
"0.3","0.4","1.00052237155811","-0.499106142439814","-0.0761251232595688","0.0180228542268809","-15.0904114822493","0.0221828643791868","0.0596960712730375","0.0706395492908684","0.0673150210126915","1.82908846837324","1.00153660338086","0.252666998725662","0.0107799903693775","0.00485160401636856","231.062737764111","Naive"
"0.3","0.45","0.99891108424475","-0.499054286051265","-0.0775922331550472","0.0170260455242608","-14.900563763864","0.0208276223006303","0.0563113114976498","0.0698849261454518","0.0670622699335828","1.84442695816216","0.998256710287868","0.252222973264921","0.0108995736454401","0.00478273692679028","225.425309374167","Naive"
