"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-2.07259065219231","1.02671965137413","-0.255698449273189","-0.100919050478841","9.9921720251373","Naive"
"0.3","0.05","-1.62458369369555","0.829594209706757","-0.277150766611199","-0.0973594342652855","6.75348206818149","Naive"
"0.3","0.1","-1.33914808444864","0.698004029969474","-0.282096768877252","-0.0991967696440586","4.63767255632002","Naive"
"0.3","0.15","-1.14864327637073","0.613007890031095","-0.29720000352114","-0.0935118518061468","3.22798492798461","Naive"
"0.3","0.2","-0.993286351862852","0.532529313993434","-0.300357323947365","-0.0898276193728752","2.20254209670895","Naive"
"0.3","0.25","-0.882948784061283","0.473983121459881","-0.300185012321833","-0.0880844681209422","1.26018421601412","Naive"
"0.3","0.3","-0.797071194006916","0.426546234887113","-0.306021214065847","-0.091796283769515","0.638243207901723","Naive"
"0.3","0.35","-0.714407824528511","0.393413163921201","-0.308293235158682","-0.0915295856827458","0.141094451294203","Naive"
"0.3","0.4","-0.659016534134619","0.360771773748212","-0.308719798238184","-0.0890123762337856","-0.367175715441273","Naive"
"0.3","0.45","-0.60905496664391","0.337743971137665","-0.3113819931269","-0.08901814911413","-0.51756155290277","Naive"
"0.3","0.5","-0.559414072755787","0.305043554979775","-0.31003362512577","-0.0883303847658911","-0.888060853520461","Naive"
"0.3","0","-2.07259065557265","1.02671965330992","-0.255698449622609","-0.100919050330131","9.99217205335653","CEB"
"0.3","0.05","-2.12470269012283","1.05014293919571","-0.26166673485549","-0.105247022258042","10.1907771530753","CEB"
"0.3","0.1","-2.20828140622543","1.10301340659144","-0.259916800277466","-0.111263228895465","10.501121420046","CEB"
"0.3","0.15","-2.17596796015406","1.09210185888939","-0.272394287493224","-0.107801663004313","10.4902619361268","CEB"
"0.3","0.2","-2.02106396019155","1.01326550427103","-0.26536260945362","-0.106183496508355","10.0183954534062","CEB"
"0.3","0.25","-1.87906314675616","0.96688662676136","-0.269400568043726","-0.107212652666972","9.41678834981791","CEB"
"0.3","0.3","-1.72889850066861","0.914432957921145","-0.286879346083534","-0.0907176168483892","8.29719427659238","CEB"
"0.3","0.35","-1.71714304945079","0.886334246469437","-0.271147060330462","-0.110103021799556","8.60455480146178","CEB"
"0.3","0.4","-1.59041510844792","0.852162228109201","-0.271244726070903","-0.0854334616252689","7.79293869526694","CEB"
"0.3","0.45","-1.52234434679832","0.897717840953324","-0.304340136006386","-0.0924707819017085","7.16347132135655","CEB"
"0.3","0.5","-1.48825756177752","0.841620012978654","-0.291846910701619","-0.0897439657695376","6.54360026325804","CEB"
"0.3","0","-2.07259065219231","1.02671965137413","-0.255698449273189","-0.100919050478841","9.9921720251373","BCEB"
"0.3","0.05","-2.10206756725869","1.04134045525025","-0.260744321538973","-0.10447175600575","10.0347046074261","BCEB"
"0.3","0.1","-2.13449914652483","1.06123927566912","-0.256086257614628","-0.108338228698854","9.96161344014168","BCEB"
"0.3","0.15","-2.19601577639041","1.10557831299803","-0.268693997137604","-0.106854571403191","9.9226631965659","BCEB"
"0.3","0.2","-2.21161400025801","1.09300083735794","-0.263972856058348","-0.105581172508453","9.79275324558983","BCEB"
"0.3","0.25","-2.24903610415567","1.10529796003042","-0.25692412138229","-0.103833380559643","9.59658973136197","BCEB"
"0.3","0.3","-2.32404227782886","1.11520623278116","-0.256572227513954","-0.114650646200513","9.59414589150739","BCEB"
"0.3","0.35","-2.29573297848145","1.16037666967733","-0.264050706947052","-0.113011067435296","8.95875028595292","BCEB"
"0.3","0.4","-2.46967628652306","1.21911402746878","-0.259868368709724","-0.118953786396316","8.99486875277849","BCEB"
"0.3","0.45","-2.72636949932974","1.30043012990378","-0.256589356831299","-0.124860302379519","8.92699197997844","BCEB"
"0.3","0.5","-2.50155609630722","1.24991358250043","-0.267693479604251","-0.116660139053518","8.06002819499817","BCEB"
"0.3","0","-2.07259066025168","1.02671965530831","-0.255698450171412","-0.100919050863814","9.99217210901194","HL"
"0.3","0.05","-2.09702279132706","1.04099068381375","-0.260436984356627","-0.101737552960085","10.1219629266964","HL"
"0.3","0.1","-2.23812712253561","1.12451785211146","-0.265015642860031","-0.111102306317393","10.3100063825512","HL"
"0.3","0.15","-2.49076601700137","1.28990342054116","-0.29821754453732","-0.117356214376094","10.6505746078272","HL"
"0.3","0.2","-2.52415420448071","1.29616071304901","-0.289252275056839","-0.115587587678156","10.9144784504185","HL"
"0.3","0.25","-2.77733907343677","1.41153110051969","-0.336132686364776","-0.180361127171672","10.7498571724773","HL"
"0.3","0.3","-3.0481931438508","1.25875311160116","-0.241653305520506","-0.126916268169113","11.148522022501","HL"
"0.3","0.35","-2.90936203225524","1.52675432351356","-0.313765327341367","-0.169758516103731","10.8764481900562","HL"
"0.3","0.4","-2.74861280309535","1.3920876272294","-0.472618116599428","-0.264655906934981","10.683099028719","HL"
"0.3","0.45","-2.85039104357996","1.44862470024793","-0.324562103303063","-0.0967563717209827","9.82562820768069","HL"
"0.3","0.5","-3.27856828085118","1.13779210095232","-0.500009018215877","-0.292768836097342","10.1214577396423","HL"
"0.3","0","-2.07259066032102","1.02671965532426","-0.255698450164342","-0.100919050867391","9.99217210947892","HW"
"0.3","0.05","-2.09427881457385","1.04079964947227","-0.260476067502951","-0.101867106480066","10.1079692933037","HW"
"0.3","0.1","-2.12724437965044","1.05893020823054","-0.257288030224872","-0.107084804890903","10.1792109702269","HW"
"0.3","0.15","-2.21424134798896","1.10425916183111","-0.268694582690457","-0.108298955656692","10.4157716153934","HW"
"0.3","0.2","-2.25713682297103","1.11796381646137","-0.266783042746647","-0.103380543410501","10.5002201301457","HW"
"0.3","0.25","-2.91697243083522","1.07681880582149","-0.338015586691753","-0.141780651832132","10.286365570195","HW"
"0.3","0.3","-2.44508603653699","1.16400161430164","-0.255522727867327","-0.110506006206473","10.4945252409074","HW"
"0.3","0.35","-2.97953526059532","1.04571037747574","-0.285452994513033","-0.263392929222509","10.5695076354435","HW"
"0.3","0.4","-2.82817637931722","0.494013927951894","-0.240390708533007","-0.47533666219948","9.84513945264435","HW"
"0.3","0.45","-2.07477092270101","1.13203959844768","-0.391608487783019","-0.139115939417769","9.55093019545104","HW"
"0.3","0.5","-2.45502871781198","1.10506590758378","-0.442809715275686","-0.202664364096863","9.88728389604911","HW"
