"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-0.690863553208013","0.342239885596074","-0.255698451368144","-0.100919051059895","9.99217211368293","Naive"
"0.3","0.05","-0.668703981821177","0.334068919770346","-0.261579317475834","-0.101079684174074","9.55158745982956","Naive"
"0.3","0.1","-0.650036800936885","0.327023632069744","-0.260140347061814","-0.106233397429915","9.11633451883477","Naive"
"0.3","0.15","-0.637188369342507","0.323046016655531","-0.26905922729253","-0.101642230884317","8.73567473265205","Naive"
"0.3","0.2","-0.613828525112564","0.312995847292086","-0.272360131212923","-0.0994569295118856","8.38987230107689","Naive"
"0.3","0.25","-0.600167917473261","0.303034546816378","-0.266702390672997","-0.0979077044234489","7.99795123402893","Naive"
"0.3","0.3","-0.585741756207302","0.294758563319594","-0.269942055249899","-0.102569439968778","7.69585836421089","Naive"
"0.3","0.35","-0.567351972365376","0.291877003942339","-0.274058310729944","-0.104079362841736","7.35397025264314","Naive"
"0.3","0.4","-0.558005740981066","0.284160717967472","-0.273289786886031","-0.100378876290989","7.02655656219528","Naive"
"0.3","0.45","-0.543567764946419","0.28425729118139","-0.282226610273988","-0.0999056615635422","6.85566200028771","Naive"
"0.3","0.5","-0.527443793369056","0.27230144110442","-0.277385989830155","-0.100378239215806","6.54879010144771","Naive"
"0.3","0","-0.690863553274677","0.342239885779025","-0.255698451046531","-0.100919050901225","9.99217210233417","CEB"
"0.3","0.05","-0.690499208816008","0.343609231269383","-0.259254240451662","-0.102034695978789","10.0111136434729","CEB"
"0.3","0.1","-0.692595427275137","0.346020685604572","-0.255923051572044","-0.10783255396213","10.0113372259279","CEB"
"0.3","0.15","-0.701246876899361","0.351516736438448","-0.263050432219347","-0.104104722562202","10.0520121486202","CEB"
"0.3","0.2","-0.695442838474372","0.349485647055233","-0.265008385824557","-0.102749519739683","10.0865936786775","CEB"
"0.3","0.25","-0.700055021049859","0.347428810333023","-0.25653793277156","-0.101617010672909","10.0852919476246","CEB"
"0.3","0.3","-0.703768581736833","0.346575553797947","-0.258139047263192","-0.107721713184652","10.1593929936748","CEB"
"0.3","0.35","-0.701095988839938","0.352494295798284","-0.261088981994515","-0.110184414809565","10.1218779433855","CEB"
"0.3","0.4","-0.711243815261383","0.352904138912406","-0.259021662420749","-0.10708911671864","10.1675295851273","CEB"
"0.3","0.45","-0.713226824018445","0.362802907848955","-0.269444464157365","-0.106896118945953","10.2979030087053","CEB"
"0.3","0.5","-0.709095943498995","0.355273532490582","-0.262087542002936","-0.108878111978532","10.2767360727045","CEB"
"0.3","0","-0.690863553208013","0.342239885596074","-0.255698451368144","-0.100919051059895","9.99217211368293","BCEB"
"0.3","0.05","-0.69041175296278","0.343570939882273","-0.259244956745665","-0.102023010319406","10.0092229876843","BCEB"
"0.3","0.1","-0.692241045382302","0.345848335422121","-0.255871161405134","-0.107797619299877","10.0039567393388","BCEB"
"0.3","0.15","-0.700348098507105","0.351110792879879","-0.262926478393145","-0.104026555407393","10.0335247014713","BCEB"
"0.3","0.2","-0.693971240443152","0.348812641196679","-0.264803407535039","-0.102605656757499","10.0567549700782","BCEB"
"0.3","0.25","-0.697726146171584","0.346316200913363","-0.256278834360653","-0.101427118746318","10.0406634287264","BCEB"
"0.3","0.3","-0.700277582500515","0.345017314348113","-0.257722110642724","-0.107357658729922","10.0904766667558","BCEB"
"0.3","0.35","-0.696371493767127","0.350275471033836","-0.260639014746421","-0.109714054759631","10.0322527995986","BCEB"
"0.3","0.4","-0.704388700712718","0.349809375199167","-0.258435770486518","-0.106405330723261","10.0404621207039","BCEB"
"0.3","0.45","-0.704387508087142","0.358598951646991","-0.268287743890524","-0.106005462782306","10.1339204226101","BCEB"
"0.3","0.5","-0.69878336411579","0.350466472453692","-0.260975265814705","-0.107850650347272","10.0926792566277","BCEB"
"0.3","0","-0.690863553607182","0.342239885294933","-0.255698450325253","-0.100919050906189","9.99217211349584","HL"
"0.3","0.05","-0.690183832274855","0.343724848666065","-0.259175179465366","-0.101230519004226","10.0168391051307","HL"
"0.3","0.1","-0.69134240131607","0.345748137095029","-0.256326136728319","-0.107289990382279","10.0037188519433","HL"
"0.3","0.15","-0.699227346815817","0.35024736330253","-0.262696263631372","-0.104233763465827","10.0322169078247","HL"
"0.3","0.2","-0.690878864329705","0.348199868348625","-0.265236451227923","-0.102353192180345","10.0384219490604","HL"
"0.3","0.25","-0.694311801474141","0.345040619365527","-0.257241071954669","-0.101388834944922","10.0386988366108","HL"
"0.3","0.3","-0.696760849068511","0.343487667061679","-0.2559448869376","-0.106027588995711","10.0742251633589","HL"
"0.3","0.35","-0.694654691088297","0.350144552763763","-0.260439613895142","-0.110570891966663","10.0668338156777","HL"
"0.3","0.4","-0.700225155766163","0.346881478633155","-0.256061797199755","-0.105662548107812","10.0713683171066","HL"
"0.3","0.45","-0.70284430572776","0.35867452485986","-0.268726630605875","-0.105525417679479","10.1788421694526","HL"
"0.3","0.5","-0.698472291331363","0.351481823860028","-0.260884187572949","-0.108569447130424","10.1548508371129","HL"
"0.3","0","-0.690863553608098","0.34223988529401","-0.25569845032423","-0.100919050906247","9.99217211352895","HW"
"0.3","0.05","-0.69023266995479","0.343794497946847","-0.259198242549326","-0.10124890290475","10.0170722924663","HW"
"0.3","0.1","-0.691149872318135","0.34557225139715","-0.256266027553338","-0.107278750016662","10.002036882447","HW"
"0.3","0.15","-0.69945314418601","0.350161387390483","-0.262593006632319","-0.104233446299361","10.0366373836295","HW"
"0.3","0.2","-0.69078153387984","0.347969896254512","-0.265171040990104","-0.102359598041011","10.0402803415798","HW"
"0.3","0.25","-0.694102337132733","0.34506238178053","-0.25717392916457","-0.101341382609055","10.0333161460184","HW"
"0.3","0.3","-0.696318843573761","0.342968834073366","-0.255777562613318","-0.105954591537322","10.0728463765015","HW"
"0.3","0.35","-0.693370169108988","0.349292232500104","-0.260215120136576","-0.110484421212673","10.055169362719","HW"
"0.3","0.4","-0.699463283702751","0.346841769263393","-0.256151435536281","-0.105420528855991","10.0655127008167","HW"
"0.3","0.45","-0.700597725700931","0.358078217476587","-0.268776759973557","-0.105329240049199","10.1332339799353","HW"
"0.3","0.5","-0.695953149683044","0.350078234017925","-0.260621650869588","-0.108586479019806","10.1168470353985","HW"
