"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0","-0.0196323486338608","0.0081643037374366","-0.00315569543185151","-0.0015213025620863","-0.00339464445283255","0.0881546188594994","0.070890172352266","0.0686038392708766","0.0626847739873514","0.118613472654004","0.0081488947023188","0.00508704697511496","0.00471173868960018","0.00392776587044089","0.0140666103501083","Naive"
"0.3","0.05","0.0458713239720597","-0.0155653817140063","-0.00869012902917721","-0.00135819711708142","-0.947957006602421","0.0853702266923746","0.0685062105580559","0.0693171977079387","0.059916966922662","0.435540752562999","0.00938496589285157","0.00493068889204238","0.00487558736672713","0.00358829758169501","1.08812853776262","Naive"
"0.3","0.1","0.101485569311038","-0.0453666112824463","-0.016249136201222","0.000572311204854209","-1.81620856290719","0.0783606439609259","0.0629176186062087","0.0690157230443439","0.0593988228689798","0.559678961744801","0.0164335709098346","0.00601279752359785","0.00502244128459211","0.00352501947817742","3.61154084365691","Naive"
"0.3","0.15","0.152167343952487","-0.0661993049463557","-0.0169306283717429","0.00218038624113587","-2.5203224751297","0.0762854354884859","0.0625410640181177","0.0672398335782614","0.060682626095276","0.630726384186019","0.0289685487655547","0.00828982127921037","0.00480332020147472","0.00368345281286978","6.74944333458056","Naive"
"0.3","0.2","0.194097563659332","-0.0874456387171962","-0.0229510764123265","0.000828505677875443","-3.20876005814455","0.0690020536468365","0.0612137190988964","0.0653558602107704","0.0595521937888019","0.702134137197361","0.042430386342562","0.0113901120171711","0.00479386898391033","0.00354360374293223","10.7886404650151","Naive"
"0.3","0.25","0.237452698246272","-0.107148838585903","-0.0238197261567904","0.00131530502776882","-3.81141830998392","0.0672693383175006","0.0559117822449356","0.061438149829306","0.0566759296032738","0.77782988034376","0.0609044226182318","0.0146038748767193","0.00433825096237829","0.00321067886271492","15.1313238371135","Naive"
"0.3","0.3","0.274524582411968","-0.120966914245505","-0.0289583531831591","0.00423874386734115","-4.35642775850185","0.0617606766291961","0.0568789453082517","0.0631370923040304","0.0573469708506942","0.810334430280089","0.079174313144984","0.017864973547039","0.00482089235126364","0.00330335334025754","19.6344480620539","Naive"
"0.3","0.35","0.304928602474092","-0.13804506372308","-0.0317690939608394","0.00705476593913747","-4.91057338668876","0.0606750991901167","0.0528661752268785","0.0647813634477011","0.0575400490449687","0.836819492051154","0.0966592388008714","0.0218484772689451","0.00520170375618564","0.00335731610930932","24.8132975814704","Naive"
"0.3","0.4","0.336896432758591","-0.151400231260645","-0.0319491573183526","0.00864611452499543","-5.3414350021941","0.0600584770286678","0.0517987784649388","0.0622115690852525","0.0558807966846761","0.870342658515208","0.117102620047804","0.0256024603627861","0.00488715770207393","0.00319429607105533","29.2876667295523","Naive"
"0.3","0.45","0.365748688839269","-0.164692798030208","-0.0372005337704134","0.00651011955805701","-5.71450763038667","0.0555841945049464","0.0511435947935289","0.0613686267137639","0.0571710817242135","0.918051509307634","0.136858616463729","0.0297367693441352","0.00514622194919224","0.00330764570959138","33.4975732129158","Naive"
