"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0","-0.0184316202121746","0.00867444220463054","-0.00273292162258371","-0.0025337784667686","0.00200480628872768","0.0894049710968757","0.0731760737577157","0.0698271874506919","0.0631337071270473","0.12975233915067","0.00832498023162219","0.00542462898038553","0.00487842913176197","0.00398829914394684","0.0168228530938108","Naive"
"0.3","0.05","0.0493080374264598","-0.0173331205131803","-0.0086086550446583","-0.00384713071277477","-1.07834914934776","0.0836975735409093","0.0700435363556328","0.0700426006462088","0.0619962355250932","0.44474961081006","0.00942956108766846","0.00520162795494208","0.00497516888105692","0.00385449010078472","1.36044130199843","Naive"
"0.3","0.1","0.113606256517937","-0.0466970222540444","-0.0167112110768088","0.00197078494085963","-2.1076435255506","0.0781784861993864","0.0647192893054701","0.0657942733009947","0.0602879602134402","0.576056160009406","0.0190121453487424","0.00636500970919164","0.00460382208846043","0.00363488750183378","4.77367008958064","Naive"
"0.3","0.15","0.173295366212748","-0.064085461590223","-0.0202882146781776","0.00496469099664509","-2.97807873159055","0.072145643349934","0.062038256908857","0.0645745188073878","0.0595267455492709","0.672598288050102","0.0352310728113319","0.00795184296220101","0.00457731026555429","0.00356453815894412","9.32088900018283","Naive"
"0.3","0.2","0.216414207006291","-0.0801734403947949","-0.0281918630529629","0.00130050546355859","-3.73166933436187","0.068601710909535","0.0603729664829052","0.0665119619464898","0.059587654851474","0.79521277129075","0.0515365975391373","0.0100690307316018","0.00521419838328634","0.00354882923654844","14.557087009289","Naive"
"0.3","0.25","0.265266146058628","-0.0979863287075993","-0.0358987735485419","-0.000339127439582657","-4.51341221658945","0.0656179942212839","0.056958006495895","0.0651058915430652","0.0572686350961407","0.803337825058551","0.0746675436892561","0.0128422909030761","0.00552326027879324","0.00327653187662943","21.0155961463676","Naive"
"0.3","0.3","0.303709346707809","-0.117414769909303","-0.0428402784100625","0.00613646980483111","-5.09358623668919","0.0620689311580492","0.0573355523306013","0.0648889998126095","0.0574271799997975","0.853353716688401","0.0960880669405715","0.0170703063883485","0.00604166116863583","0.00333223938339202","26.6721051038096","Naive"
"0.3","0.35","0.336923289627709","-0.131120800121053","-0.0392307477468449","0.00780440261520017","-5.69343650041531","0.0602633091122042","0.0536358539228055","0.064457430587961","0.0585748700714999","0.910401618594503","0.117145337852285","0.0200665922455876","0.00568965716642039","0.00348849308866935","33.2432214602937","Naive"
"0.3","0.4","0.372012874310977","-0.141355680644496","-0.0446129483342622","0.00739145637129571","-6.19961852784251","0.0554480438981518","0.0520582295611698","0.0598674370329443","0.0555474981192495","0.917162155629487","0.141464989739674","0.022688777656247","0.0055708410659522","0.00313707265004949","39.2756151240674","Naive"
"0.3","0.45","0.399161436677113","-0.154430741901892","-0.047155567320024","0.00384581082451974","-6.6088234632353","0.0541891951661574","0.052955461878126","0.0634317083825077","0.055890546083979","0.965527716868681","0.16226338493402","0.0266503307061519","0.00624320557596848","0.00313541964932181","44.6078590964791","Naive"
"0.3","0.5","0.425884114979396","-0.163457044669675","-0.0498198312489933","0.00737877029653297","-7.01015086185694","0.0533594575311599","0.0502728007626777","0.0598988235707898","0.0551375292058534","0.984882680414678","0.184221663868095","0.0292430325941715","0.00606629678177761","0.00309155323088841","50.1112390062802","Naive"
"0.3","0","-0.0184316208176589","0.00867444235085069","-0.00273292038234352","-0.002533778726443","0.00200479221842187","0.0894049711531896","0.0731760740257164","0.0698271881209964","0.063133707177642","0.12975233911369","0.00832498026400172","0.00542462902210555","0.00487842921850037","0.00398829915164482","0.0168228530278075","CEB"
"0.3","0.05","-0.0165083399196189","0.0125661860742822","-0.00381612153019556","-0.00536886169677193","-0.117525692283266","0.0958959903269806","0.0781314525178255","0.0740412201908329","0.0646378477403908","0.480591602689115","0.00945937020673325","0.00625632838112616","0.00549118296859327","0.0042026979850685","0.244549608633378","CEB"
"0.3","0.1","-0.00680230066054932","0.00980203094429621","-0.00916276252524956","-0.000905958247782779","-0.368500364515423","0.102540712933073","0.0804957193161641","0.0728306393948735","0.0655106692296697","0.681223353431712","0.0105503545052906","0.00656916107803138","0.00538295394972555","0.004288176895483","0.599393710651486","CEB"
"0.3","0.15","0.00743655351221306","0.0191541387234778","-0.011155011911958","0.00123843325784015","-0.643603951812562","0.105986069296468","0.0861121632249899","0.0753040105104065","0.0671524497568664","0.834107151504635","0.0112771161661708","0.00777477038087026","0.00578945759570838","0.00450647577377424","1.10926505223973","CEB"
"0.3","0.2","0.00975940845071332","0.0278751069565278","-0.0188476288417528","-0.00404941176244371","-0.904197760775808","0.11249526596932","0.0916139774353611","0.0807728633310834","0.0702054480886916","1.02551863866458","0.0127377757339505","0.00916174932850318","0.00687296430820765","0.00494027387201446","1.86821038036219","CEB"
"0.3","0.25","0.0289437192809132","0.0353256240681243","-0.0284770647989083","-0.00581277302740753","-1.38268556545831","0.11814627663257","0.0957631744982617","0.0820201308863939","0.0690418242629832","1.13101167736262","0.0147823230252699","0.010409314720197","0.00753151778831179","0.00479579505433125","3.18972759984302","CEB"
"0.3","0.3","0.0386275209872498","0.0371817181928928","-0.0374409310006567","-0.000601019678225873","-1.64944830728451","0.127839288306276","0.108570074832919","0.0859175310847103","0.0716098820958348","1.24262272925288","0.017818626128641","0.0131581538558522","0.0087762636397404","0.0051232084632192","4.26324685441237","CEB"
"0.3","0.35","0.0446552782480719","0.0504343501605342","-0.0370136315013861","0.000174637785412449","-2.0569316863986","0.131726204528422","0.113319135201896","0.0897537791996669","0.0749119753795229","1.32249432288846","0.019328535041917","0.015372008852618","0.00941769405666234","0.00560622274956308","5.97821020534872","CEB"
"0.3","0.4","0.0653769875812187","0.0665858000119244","-0.0474328208341161","-0.000308010747268425","-2.5606535305572","0.132852647889889","0.12426406141249","0.0863945514123897","0.0720911961405157","1.4066701998827","0.0219063267304983","0.0198597841649964","0.00970642698751566","0.00519203829102977","8.53368883374187","CEB"
"0.3","0.45","0.0689440076236089","0.0792280187687108","-0.0549371590943112","-0.00708690593630831","-2.85919768532939","0.143751127536546","0.136392026116132","0.0965371528583229","0.0774020684349681","1.4927101651259","0.0253969984685645","0.0248612609612908","0.0123281939094629","0.00603531335356355","10.400966857226","CEB"
"0.3","0.5","0.0814716971720114","0.0975756326560143","-0.0629916047232862","-0.000799918534207716","-3.26921103803205","0.145821144811635","0.150930362032019","0.0946289379333617","0.0776407984627574","1.57660467597609","0.0278801372951514","0.0322781526459037","0.0129136055789543","0.00602269328166208","13.1709324518687","CEB"
"0.3","0","-0.0184316202121746","0.00867444220463054","-0.00273292162258371","-0.0025337784667686","0.00200480628872768","0.0894049710968757","0.0731760737577157","0.0698271874506919","0.0631337071270473","0.129752339150673","0.00832498023162219","0.00542462898038553","0.00487842913176197","0.00398829914394684","0.0168228530938114","BCEB"
"0.3","0.05","-0.016178459104158","0.0123970824067299","-0.00377079355606097","-0.00535082962564619","-0.12234540087721","0.0955909153171469","0.0779726315651897","0.0739283547435079","0.0645566852542215","0.479683206942615","0.00939022800706369","0.00622733919412686","0.00547415511748929","0.0041920294230843","0.244834280159534","BCEB"
"0.3","0.1","-0.0057125328390677","0.00915357951289331","-0.00894648979273865","-0.000835321715202411","-0.383281115134121","0.101224453304306","0.0798527107204553","0.0724725937517189","0.065153718980313","0.673961994219153","0.0102687765882463","0.00645386697189418","0.00532706424786816","0.00424145985223652","0.600674958100661","BCEB"
"0.3","0.15","0.0094671710813059","0.0175359852218895","-0.0106525750031957","0.00141963570930338","-0.665140587946869","0.103326727013985","0.0844067492838828","0.0743843761044913","0.0663829903719169","0.821336786848758","0.0107553634311898","0.0074248856030499","0.00564097972724468","0.00440431007485442","1.11633152504792","BCEB"
"0.3","0.2","0.0129868506847824","0.0252247470271263","-0.0179068043481878","-0.00369845496867699","-0.938721291318942","0.107907023257123","0.0889355382131529","0.0792842399491738","0.0688901364819564","0.999307475539025","0.0118009400332539","0.00853790828988843","0.00660035835557812","0.0047547836227534","1.87881447801301","BCEB"
"0.3","0.25","0.0333018487816327","0.0304890909167083","-0.0267820972468931","-0.00549789449232729","-1.41031460470111","0.111555155903575","0.0913117955290653","0.0798577144791481","0.0672434471395552","1.09790145951617","0.0135411213881371","0.00925909082366639","0.00708815804021335","0.0045473863458757","3.19316951142618","BCEB"
"0.3","0.3","0.0445545126398016","0.029676396543421","-0.0344102850060468","-3.09365322202493e-05","-1.67832212647851","0.116447210932683","0.0997942628251998","0.0823253296353544","0.0689579412326064","1.18448570303382","0.015531497577637","0.0108296245097346","0.00795475015386756","0.00475044341844959","4.21836853453816","BCEB"
"0.3","0.35","0.0529531531291023","0.038641974274075","-0.0327013711879134","0.000923559762442669","-2.07672162744086","0.116423255323658","0.100969583146944","0.0848242209616927","0.0713698991428534","1.26556740742345","0.0163448564320917","0.011677864039945","0.008257332990866","0.00508942180379221","5.91283191975039","BCEB"
