"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0","-0.0184316202121746","0.00867444220463054","-0.00273292162258371","-0.0025337784667686","0.00200480628872768","0.0894049710968757","0.0731760737577157","0.0698271874506919","0.0631337071270473","0.12975233915067","0.00832498023162219","0.00542462898038553","0.00487842913176197","0.00398829914394684","0.0168228530938108","Naive"
"0.3","0.05","0.0516422023877001","-0.0200761494780593","-0.0124836815254055","0.000132172961375562","-1.19394695326614","0.0948839831785794","0.0718704986706585","0.0689867824868951","0.0652184893124197","1.23953932469395","0.0116608843610213","0.00556325498845534","0.00491025928616403","0.00424921536653772","2.96043060693876","Naive"
"0.3","0.1","0.128250877192064","-0.0448211288569884","-0.0242238197208114","4.83542862225739e-06","-2.30029816829258","0.117469630427758","0.06965596357657","0.0717268597901373","0.0605615001757267","1.98622202820143","0.0302336024592951","0.00685603490053342","0.00572639111480503","0.00366402763161239","9.23250453041749","Naive"
"0.3","0.15","0.187301607541887","-0.0700094279238833","-0.0261341723745706","-0.00238279185114768","-3.36998270778403","0.127671898646416","0.0697446004451208","0.0716643443316026","0.0622306728233728","2.26044283917145","0.0513657057780517","0.0097607649801877","0.0058136374359338","0.00387446168041552","16.4612756780957","Naive"
"0.3","0.2","0.235508177764332","-0.0879902639480378","-0.0289629501106857","0.00500568179528392","-4.15738360478677","0.126731990616099","0.0701848530782272","0.0708668671523221","0.0593900746569194","2.43567248475731","0.0715090382419496","0.0126632742376561","0.00585594322623896","0.00354871063702235","23.2104063899007","Naive"
"0.3","0.25","0.285653830375446","-0.113213629048535","-0.0344998038585354","0.00139525017493325","-4.90416229524956","0.132585876182287","0.0704321295314411","0.0725031435259728","0.0596369235909991","2.62408869945222","0.0991595463566255","0.0177730499878026","0.00644168558160407","0.00355495281579391","30.9297634792377","Naive"
"0.3","0.3","0.322236443963462","-0.129939192650718","-0.0382998266606331","0.00303509624247067","-5.38399196099819","0.126827948211294","0.0716324277294355","0.069932554755286","0.061470159517656","2.57711693426344","0.119905568937256","0.0220102672844308","0.00635254837462102","0.00378401373981601","35.6222595972676","Naive"
"0.3","0.35","0.35790852216285","-0.146705444195777","-0.0426258444447393","0.00123378158529869","-5.93896888872494","0.124686816599006","0.06862068403663","0.0689455725349317","0.0625134789354444","2.61433658910375","0.143629765668155","0.0262265768360576","0.00656570109482447","0.00390554933056386","42.0992725065682","Naive"
"0.3","0.4","0.382787421020755","-0.159852143429966","-0.0445015898476422","0.00522751577827568","-6.26256514908516","0.113164118410006","0.0722505560715894","0.0711512311508879","0.0606444836890458","2.36753659008217","0.159319521269539","0.0307676304689557","0.00703782669556057","0.00370140256972115","44.8193465224086","Naive"
"0.3","0.45","0.426296250875003","-0.170600270209305","-0.0494986656915254","0.00666231702869793","-6.96062966145131","0.124082446702612","0.0685779856723719","0.0701050285284805","0.0573998168345161","2.6702675163325","0.19710955063621","0.033802689374249","0.00735991821519549","0.00333583070185425","55.5735635640475","Naive"
